Student Initials,Major 1,Major 2,,Terms
G. A.,Civil Engineering BS,,,7
W. W.,Economics BA,Molecular & Cell Biology BA,,8
L. A.,Civil Engineering BS,,,6
S. N.,Chemistry BS,,,5
K. A.,Mechanical Engineering BS,,,5
L. S.,Mechanical Engineering BS,,,7
L. B.,Energy Engineering BS,,,7
G. K.,Letters & Sci Undeclared UG,,,7
P. H.,Engineering Undeclared UG,,,4
S. A.,Civil Engineering BS,,,4
B. S.,Civil Engineering BS,Letters & Sci Undeclared UG,,5
F. M.,Chemical Engineering BS,,,7
R. A.,Civil Engineering BS,,,5
R. L.,Aerospace Engineering BS,,,5
L. A.,Civil Engineering BS,,,5
A. F.,Civil Engineering BS,,,5
S. E.,Molecular Environ Biology BS,,,5
C. Y.,Aerospace Engineering BS,,,5
B. M.,Aerospace Engineering BS,,,5
A. L.,Civil Engineering BS,,,5
D. R.,Civil Engineering BS,,,5
H. C.,Civil Engineering BS,,,5
B. T.,Aerospace Engineering BS,,,5
B. M.,Aerospace Engineering BS,,,5
P. J.,Civil Engineering BS,,,5
U. A.,Aerospace Engineering BS,,,5
K. N.,Aerospace Engineering BS,,,5
A. J.,Civil Engineering BS,,,5
U. D.,Aerospace Engineering BS,,,5
L. J.,Civil Engineering BS,,,5
K. A.,Aerospace Engineering BS,,,5
B. C.,Civil Engineering BS,,,5
S. S.,Civil Engineering BS,,,5
S. A.,Civil Engineering BS,,,5
L. W.,Aerospace Engineering BS,,,5
K. A.,Civil Engineering BS,,,5
K. R.,Aerospace Engineering BS,,,5
B. D.,Civil Engineering BS,,,5
W. L.,Civil Engineering BS,,,5
G. A.,Civil Engineering BS,,,5
K. J.,Aerospace Engineering BS,,,5
A. I.,Molecular & Cell Biology BA,,,5
D. Z.,Civil Engineering BS,Letters & Sci Undeclared UG,,5
S. B.,Civil Engineering BS,History BA,,5
P. L.,Music BA,,,5
S. J.,Public Health BA,,,5
D. D.,Civil Engineering BS,,,8
C. C.,Physics BA,,,8
L. A.,Civil Engineering BS,,,8
K. H.,Data Science BA,,,8
V. L.,Civil Engineering BS,,,3
R. M.,Civil Engineering BS,,,3
M. S.,Civil Engineering BS,,,3
M. M.,Civil Engineering BS,,,3
G. E.,Civil Engineering BS,,,3
R. J.,Civil Engineering BS,,,3
G. E.,Civil Engineering BS,,,3
R. C.,Civil Engineering BS,,,3
H. B.,Civil Engineering BS,,,3
B. P.,Civil Engineering BS,,,3
F. A.,Civil Engineering BS,,,3
A. Z.,Aerospace Engineering BS,,,3
L. E.,Civil Engineering BS,,,3
S. N.,Civil Engineering BS,,,3
Q. N.,Civil Engineering BS,,,3
C. L.,Civil Engineering BS,,,3
L. R.,Civil Engineering BS,,,3
Q. J.,Civil Engineering BS,,,3
K. E.,Civil Engineering BS,,,3
G. S.,Civil Engineering BS,,,3
R. A.,Civil Engineering BS,,,3
V. J.,Civil Engineering BS,,,3
W. S.,Civil Engineering BS,,,3
Y. W.,Civil Engineering BS,,,3
L. E.,Civil Engineering BS,,,3
J. J.,Civil Engineering BS,,,7
S. M.,Civil Engineering BS,,,7
L. J.,Civil Engineering BS,,,7
S. J.,Civil Engineering BS,,,7
C. R.,Energy Engineering BS,,,7
R. D.,Civil Engineering BS,,,3
N. J.,Civil Engineering BS,,,3
L. J.,Civil Engineering BS,,,3
M. T.,Aerospace Engineering BS,,,3
B. J.,Civil Engineering BS,,,3
C. M.,Civil Engineering BS,,,3
A. H.,Civil Engineering BS,,,3
A. H.,Civil Engineering BS,,,3
A. R.,Civil Engineering BS,,,3
